id	status	priority	kind	title	evidence
pedagogy-R13	DONE	low	build-item	P2 roadmap #13: AI-assistant post-pass idiomatic review — 'it passes; here's the idiomatic Rust/Anchor way'	#587 CLOSED (LX-C9): lib/ai/partner-prompt.ts post-pass 'review' variant — instruction block 'The learner's code above ALREADY PASSES every visible test — this is a post-pass idiomatic review', bounded notes schema (zero notes when already idiomatic), wired th
pedagogy-R14	SUPERSEDED	low	content-item	P2 roadmap #14: Challenge-first lesson pilot in one course — open Monaco pane with a small attempt before exposition	UNIFIED-LAUNCH-SPEC lines 1650 and 1901–1902: 'No separate challenge-first pilot is planned — recorded as a deliberate non-build, not a silent drop' (PED-19); the attempt-before-exposition mechanism ships inside item 32a's attempt-gate nudge with a free overri
pedagogy-P0D-1	DONE	high	process-rule	Review items must be elaborated retrieval (why/predict-the-output) with varied inputs, not verbatim recall — transfer caveat on retrieval practice	Live authoring guidance encodes it: catalog blueprint (2026-07-25-catalog-redesign-spec.md line 368) mandates predict-the-error/predict-the-cost/predict-the-behaviour style and rejects verbatim ('What does &mut mean?' is not retrieval); UNIFIED-LAUNCH-SPEC lin
pedagogy-P0D-2	DONE	high	process-rule	Retrieval-close items calibrated so most learners succeed, with immediate explanatory feedback on every item (removes the success-rate boundary condit	Standard specified in the live specs: learning-experience-research.md line 46 design rule 'every retrieval item gets immediate explanatory feedback' (feedback removes the success-rate boundary condition) and line 176 'items calibrated so most learners succeed…
pedagogy-P0D-3	DONE	high	process-rule	Ship streak freezes BEFORE increasing streak prominence anywhere	#573 'Streak forgiveness: one PR, all streak paths' CLOSED (migration 20260726170000 + streak-forgiveness-guard.test.ts in snapshot); the only prominence change since is #583 'Launch prominence demotion: streaks + global leaderboard' CLOSED — a demotion, not a
pedagogy-P0D-4	PARTIAL	high	build-item	Instrument the post-credential cliff (activity 14 days after each mint) now, so the Earn-bridge has a baseline	Instrumentation exists: trackCredentialMinted in apps/web/src/lib/analytics/events.ts is explicitly documented as 'the post-mint-cliff baseline (LX-F1)' with per-course dedup, and it shipped in the same 07-26 wave as the Earn bridge (#553 CLOSED, registry row 
pedagogy-N1	DONE	high	decision	Never build an ML spaced-repetition model — HLR discrimination was near-chance (AUC ~0.54); fixed Leitner captures the value	Review scheduling is fixed-interval Leitner: /api/review/grade/route.ts advances/resets a Leitner box gated on due_at with a fixed 21-day terminal (LX-B5); lib/review/{schedule-review,due-items,interleave}.ts are all fixed-schedule. Greps for HLR/half-life/ML 
pedagogy-N2	DONE	launch-critical	decision	Never add leaderboard prizes, XP→token bridges, or any monetary salience for XP — soulbound illiquidity is the moat	Greps for prize/jackpot/redeem/cash-out/token-bridge across components and gamification lib return nothing; XP stays soulbound; #550 'XP copy audit: competence framing everywhere' CLOSED enforces informational framing; leagues (#574) rank on XP with no monetar
pedagogy-N3	DONE	high	decision	Never build anti-cheat/plagiarism policing for challenges — answer keys go public at every scale tested; integrity lives in capstones, not detection	Greps for anti-cheat/plagiarism/cheat-detection across apps/web/src return nothing; integrity lives in the capstone gate (#561 'Capstone-gated credential (split webhook handler)' CLOSED, build-server verified artifact); unified spec line ~1361 states 'Integrit
pedagogy-N4	DONE	medium	decision	Never use more badges/achievements as a retention strategy — >40% of users unaffected, steered users quit right after earning	No open issues match badge/achievement retention work (gh search returned empty); achievements remain declarative content docs (PREDICATES in lib/gamification/achievements.ts per memory); experiment-registry.ts contains no badge-minting experiment; retention m
pedagogy-N5	DONE	medium	decision	Never build delayed-feedback machinery — timing effect is g=0.03; spend engineering on feedback content instead	No delayed-feedback machinery exists (no grep hits); engineering went to feedback content: #564 CLOSED 'Quiz feedback rendering' (explanatory feedback, registry quiz-feedback row cites PED-02), #576 stuck-nudge authored hints merged, #686 CLOSED backfilled 15 
pedagogy-N6	DONE	low	decision	Never build synchronous pair-programming infrastructure — fragile evidence, later nulls, publication bias; forum 'debug together' threads at most	Grep for pair-program* across apps/web/src returns nothing; no issue mentions pair-programming infrastructure; nothing on the open-issue list (checked all 16 open issues).
pedagogy-N7	DONE	medium	decision	Never build notification bandit optimization — at our scale use a small rotating template pool triggered by streak state and due-reviews, volume held 	No bandit code (grep empty) and in fact no notification send channel exists at all: registry planning-prompt row (#582) states 'v1 is display-only with no delivery channel'; trackNextLessonPlanCommitted doc in events.ts confirms no notification channel. The co
pedagogy-N8	DONE	high	decision	Never position as learn-to-earn — describe Academy as skill→work; the L2E category converged to marketing-quests	Guard test apps/web/src/components/certificates/__tests__/earn-handoff-card.test.tsx line 87 bans /learn to earn/i (plus job/career/hire overpromising) in the Earn-handoff copy; grep for learn-to-earn across app copy hits only the spec docs discussing it as th
pedagogy-N9	DONE	low	decision	Never build a personality-keyed brand — Buildspace's confirmed lesson; keep Academy institutionally owned	Repo-scope: all landing/marketing copy in apps/web/src/components/landing is institutional (Superteam Academy), no individual-keyed branding found by grep; no issue proposes one. External marketing channels are outside the repo and not checkable, but everythin
pedagogy-C1	DONE	high	risk	Risk 3.1: Per-lesson XP is completion-contingent tangible reward (d≈-0.36 to -0.44 undermining); mitigation is framing/structure not removal — informa	All four done-when clauses verified: (1) copy audit R8 = #550 CLOSED 'XP copy audit: competence framing everywhere'; (2) surprise-bonus mechanic = #589 CLOSED + lib/gamification/surprise-bonus.ts + surprise-bonus-toast.tsx + realtime delivery fixed via #790/#7
pedagogy-C2	DONE	medium	risk	Risk 3.2: Public global all-time leaderboard is the worst-evidenced configuration AND poisoned by paste-farmable XP (top ranks measure paste speed) — 	#583 CLOSED 'Launch prominence demotion: streaks + global leaderboard' demoted the global all-time board; #574 CLOSED 'Cohort leagues + you-±3 strip' shipped the cohort/relative default; follow-up polish #789/#793 CLOSED confirm the weekly league is the live s
pedagogy-C3	PARTIAL	medium	risk	Risk 3.3: Open-book + accepted paste-farming makes the soulbound credential NFT paste-attestable — credential currently attests wallet activity, not s	Gate shipped: #561 CLOSED 'Capstone-gated credential (split webhook handler)'; course version stamped at mint (per WS-1 memory/design); #559 CLOSED wired the capstone Earn terminus. || REMAINS: #725 OPEN: '/api/deploy/save has never written a row in prod — the
pedagogy-C4	PARTIAL	high	risk	Risk 3.4: Daily streaks with hard resets contradict habit science and price daily obligation against a weekly-return goal (cadence mismatch) — punishm	Forgiveness live: #573 CLOSED (all streak paths, one PR; migration + guard test in snapshot); streak prominence simultaneously demoted (#583 CLOSED); weekly-eligible XP framing exists in the league (#789/#793). || REMAINS: No weekly streak TRACK exists — lib/g
pedagogy-C5	DONE	medium	risk	Risk 3.5: One linear path for three segments is actively harmful — worked-example scaffolding beginners need (d=+0.505) harms experienced web3 devs (d	Segment-differentiated ladder shipped as a coherent cluster, all CLOSED: #566 '/start intake + segment state', #577 'Parsons block type + ladder rungs + segment entry', #586 'Path-page presentation + per-segment guidance modality' (guidance-level differentiati
pedagogy-C6	PARTIAL	high	risk	Risk 3.6: Read-then-code-once lesson flow with no revisits contradicts active-learning, retrieval, and spacing evidence — need attempt-first openings,	Retrieval closings live: #564 CLOSED (quiz feedback + AI suppression during retrieval, LX-D2 on/off preregistered). Scheduled re-exposure live: review spine #569 CLOSED (review_items + Leitner grading route) with interleave.ts. Quests carry review: #572 CLOSED
pedagogy-PED-RET	DONE	high	research-insight	Retrieval practice CONFIRMED for retention (g≈0.42-0.61); transfer is conditional on item design (elaborated retrieval, response congruency, high init	Retrieval is the core mechanic: graded code challenges (lessons/complete grading suite) plus in-lesson retrieval closes (#564 CLOSED). Transfer moderators are encoded as authoring rules: unified spec (docs/superpowers/specs/2026-07-25-UNIFIED-LAUNCH-SPEC.md, f
pedagogy-PED-FB	DONE	high	research-insight	With feedback, retrieval benefit is robust regardless of initial success (Rowland 2014); MC-with-feedback matches short-answer — design rule: every re	#564 CLOSED (quiz feedback rendering + 403 mismap + AI suppression); content-repo quiz schema carries per-option `feedback` + `explanation` (schema/lesson.schema.json lines 242/254, CONTRIBUTING.md worked example); explanation debt paid: #686 (15 C5 questions)
pedagogy-PED-SPC	DONE	high	research-insight	Spacing CONFIRMED (d≈0.54, 7-day gaps consistently positive; optimal gap grows with retention target) but classroom heterogeneity high — 'moderate on 	#569/#570/#571 (review spine 1-3) CLOSED; migration supabase/migrations/20260726140000_review_items_spaced_repetition.sql implements a fixed-interval Leitner box schedule (review_schedule box→interval_days reference table; per-item ML scheduler explicitly excl
pedagogy-PED-EXR	DONE	medium	research-insight	Expertise reversal CONFIRMED — strongest design constraint in report; asymmetric (helping novices matters more than withdrawing help from experts) and	#566 (/start intake + segment state), #577 (ladder rungs + segment entry), #578 (test-out for segment 2), #586 (per-segment guidance modality) all CLOSED; code exists: apps/web/src/lib/onboarding/{intake.ts,segment-state.ts,use-segment-state.ts}, lib/courses/l
pedagogy-PED-SUB	DONE	low	research-insight	Subgoal labels WEAKENED (one quasi-experiment, no independent replication) but cheap low-risk retention lever for beginners — attrition-halving is not	Subgoal-labeled is a mandated rung in courses-academy courses/CATALOG.md (per-lesson Shape column, e.g. 'code(rust, buildable, 4 labeled subgoals)'); live bundle: 8/40 code-block starters carry literal numbered subgoal comments (verified in generated lessons.j
pedagogy-PED-PAR	DONE	low	research-insight	Parsons problems WEAKENED on numbers but right direction — worth adding as cheap intermediate rung, especially for Rust syntax exposure before writing	#577 (Parsons block type + ladder rungs) and #703 (parsons rendering F13 + distractor/pairedWith + parsons_failed tests) CLOSED; code shipped: parsons-block.tsx, lib/grading/graders/parsons.ts, deny-reason wiring, lines/correctOrder projection in lib/content/p
pedagogy-PED-CAP	DONE	medium	research-insight	Project-based capstones moderate-to-large (g≈0.66-0.71) but implementation-sensitive — one structured, milestone-scaffolded capstone per course path, 	Verified in generated courses.json: each of the 4 live courses ends in exactly one milestone-scaffolded capstone module — C2 'The Vault Core' (build-the-vault-core), C3 'Ship It' (deploy-and-publish-the-idl), C4 'Make It Correct...' (what-you-shipped), C5 'Get
pedagogy-PED-LAD	DONE	medium	research-insight	Validated cognitive-load ladder (worked example → subgoal-labeled → Parsons/completion → independent writing) is ONE authoring format serving all thre	courses-academy courses/CATALOG.md is the adopted authoring standard: line 113 defines Shape as 'the guidance rung (worked-example → subgoal-labeled → parsons-completion → independent-write)' and every lesson row in the C1-C5 blueprints declares its rung, entr
pedagogy-MOT-AMP	DONE	medium	research-insight	Gamification works modestly (cognitive g≈0.49, behavioral g≈0.25) — points are an amplifier, not the engine; pedagogy carries the load	Launch-wave composition is pedagogy-dominant: review spine #569-572, feedback #564/#565/#686/#719, ladder/segments #577/#578/#586, capstone gating #561, tutorNotes #587/#650/#771/#775 — vs a single new point mechanic (#589 surprise bonuses). Point mechanics we
pedagogy-MOT-SDT	DONE	medium	research-insight	SDT profile: community/relatedness features are the highest-leverage motivational surface; feeling of competence must come from well-calibrated challe	#574 CLOSED (cohort leagues + you-±3 strip — relatedness-scoped comparison instead of global rank); #583 CLOSED demoted global leaderboard/streak prominence; #550 CLOSED (competence framing everywhere); lib/gamification/mastery.ts is explicitly competence-fram
pedagogy-MOT-SUR	DONE	medium	research-insight	Unexpected rewards show zero undermining (d=0.01) — surprise XP bonuses are the one safe reward form for delight	#589 CLOSED (surprise XP bonuses + mastery panel); lib/gamification/surprise-bonus.ts: server-only probabilistic roll (SURPRISE_BONUS_PROBABILITY=0.08, weekly cap 3, varied amounts) — unannounced/non-contingent by construction; #790 CLOSED makes server-granted
pedagogy-MOT-NOV	DONE	high	process-rule	Novelty dynamics (Brazilian CS1, N=756): gamification effect dips weeks 4-6, recovers 6-10 — never evaluate any mechanic on a <12-week window; week-3 	#605 CLOSED via merged PR #648: apps/web/src/lib/analytics/experiment-registry.ts encodes EVALUATION_WINDOW_WEEKS=10 / EVALUATION_WINDOW_DAYS=70 with earliestReadDate() computed from learner-exposure start (LAUNCH_DATE null ⇒ isReadable() false, fail-closed); 
pedagogy-MOT-GG	DONE	medium	research-insight	Goal-gradient / endowed progress / post-reward reset: effort accelerates near visible goals, head-start progress speeds completion, motivation resets 	Every reward moment presents a pre-seeded next goal, all CLOSED: #551 Continue card (lesson complete → next lesson), #549 celebration re-tiering at deploy + mint, #552 LinkedIn Add-to-Profile nudge and #553 Earn handoff card at the post-mint moment (credential
pedagogy-MAS-ENG	DONE	medium	process-rule	Engagement mechanics ≠ learning mechanics — company A/B evidence measures app-return; never conflate the two when reading dashboards	Separation encoded in apps/web/src/lib/analytics: registry rows carry distinct primaryMetric per mechanic — engagement ('weekly return of previously-active learners') vs learning ('pilot-course capstone reach + transfer-check accuracy'); README separates launc
pedagogy-MAS-ADH	DONE	high	research-insight	Adherence is the SRS failure mode (Anki voluntary usage collapsed 60%→8%) — reviews MUST ride inside the daily-quest/streak loop, never as a standalon	#572 CLOSED 'Review quest kind (enum + YAML + SQL branch + card links)' — review delivery rides inside the daily-quest loop, with migration 20260726170000_review_quest_kind.sql applied; the /review page (#571) is the quest-card-linked destination surfaced via 
pedagogy-MAS-ACT	PARTIAL	low	research-insight	Active/problem-first beats exposition (+0.47 SD, failure 33.8%→21.8%) — supports attempt-before-instruction lesson openings	The attempt-before-exposition mechanism shipped inside #582 (solution-reveal soft-gate + if-then prompt, CLOSED) and #576 (stuck-nudge, CLOSED), and experiment-registry.ts contains a preregistered 'challenge-first-pilot' row (one course, capstone reach + trans
pedagogy-MAS-ART	PARTIAL	medium	research-insight	Credential integrity through artifacts (freeCodeCamp: 5 build-projects per cert; portfolio is what employers check) — the model for capstone-gated cre	Artifact-attestation credential model shipped: #561 CLOSED (capstone-gated credential, split webhook handler), #560 CLOSED (/api/deploy/save hardened with on-chain verification), #622 CLOSED (deploy-save failures surfaced), E2E #781/#819 CLOSED; credentials ga
pedagogy-MAS-MEN	DONE	low	research-insight	~80% of mentorship is mechanizable (Exercism: 25% pass outright, 55% common error buckets; human latency is the cost) — AI assistant delivers instant 	#587 CLOSED (AI post-pass idiomatic review); mechanized feedback ladder completed by tutorNotes authoring #650/#683/#771/#775 all CLOSED and authored failure_message (#575 CLOSED); no human review sits on any completion/credential path — grading is fully autom
pedagogy-WEB-SUR	DONE	high	research-insight	Web3 survivor pattern: external funding engine + credible learning→paid-work pipeline; failures were engagement-rich but pipeline-poor or reward-liqui	Earn pipeline treated as the strategic terminus, not nice-to-have: launch KPI defined as 'capstone deploys + Earn submissions' in lib/analytics/README.md; #553 CLOSED (Earn handoff card at post-mint moment); #595 CLOSED (attestation route wired so C5's Earn-te
pedagogy-WEB-FBK	DONE	medium	risk	Content is commoditized; feedback is the scarce good (RareSkills) — Academy currently has NO structured feedback loop on submissions; that gap is what	Structured submission-feedback loop shipped in layers: (1) AI post-pass review — apps/web/src/app/api/ai/partner/route.ts exposes PartnerAction "review", documented in apps/web/src/lib/ai/partner-types.ts:23 as 'a post-pass idiomatic review of the learner's PA
pedagogy-WEB-BAS	DONE	medium	research-insight	Set realistic baselines now: free async completion ~3.13% (MOOC census), ~5% artifact-production normal; commitment devices move completion more than 	Baselines are encoded, not just written: #605 CLOSED ('Encode the 10-12 week evaluation rule on dashboards and the experiment registry') → apps/web/src/lib/analytics/experiment-registry.ts hard-codes EVALUATION_WINDOW_WEEKS=10, north-star 'weekly return of pre
pedagogy-EXP-1	NOT-DONE	low	build-item	Experiment: mastery gate A/B — challenge-pass required for next-lesson XP vs advisory; metrics: completion rate, 21-day review accuracy, weekly return	No mastery-gate A/B exists anywhere. Searches: grep 'mastery gate|mastery-gate' across docs+src hits only docs/superpowers/specs/2026-07-25-learning-experience-research.md:200 where it is listed as open question #1; the experiment registry (all 18 entry ids li
pedagogy-EXP-2	PARTIAL	low	build-item	Experiment: weekly vs daily headline streak cadence A/B; metric: weekly return of previously-active learners + streak-break abandonment	Preregistered but never run: experiment-registry.ts row id 'weekly-cadence' (weekly quest/goal framing vs daily-streak, primaryMetric weekly return, evidence PED-15/UIU-08) has status 'planned'; LAUNCH_DATE=null so the evaluation clock has not started. Streak 
pedagogy-EXP-3	PARTIAL	low	build-item	Experiment: Parsons pre-exercises on the two highest-drop Anchor/Rust lessons only; metric: lesson-level drop-off and time-to-first-pass (evidence is 	Parsons substrate shipped: apps/web/src/app/[locale]/(platform)/courses/[slug]/lessons/[id]/blocks/parsons-block.tsx + registration in blocks/index.ts + tests. But grep of the generated content bundle (apps/web/src/content/generated/lessons.json) finds ZERO pa
pedagogy-EXP-4	NOT-DONE	low	build-item	Experiment: league cohort size/composition (30-person engagement-matched vs nearby-rank window); metric: bottom-half participation after 3 weeks	Conditional untriggered: cohort leagues (R7) have not shipped — experiment-registry.ts row 'cohort-vs-global' (LX-B9b, primaryMetric weekly return of mid-rank learners) is status 'planned'; only the global /leaderboard route exists in apps/web/src/app/[locale]
pedagogy-EXP-5	PARTIAL	low	build-item	Experiment: post-credential bridge — on mint, next course pre-seeded with endowed progress + Earn shortlist vs plain congratulations; metric: 14-day p	Bridge intervention shipped ahead of measurement: #553 CLOSED → apps/web/src/components/certificates/earn-handoff-card.tsx + course-completion-mint.tsx at the post-mint moment, with registry row 'earn-handoff' (merged-pre-launch, primaryMetric 'Earn submission
pedagogy-EXP-6	PARTIAL	low	build-item	Experiment: challenge-first lessons — flip one course to attempt-before-exposition; metrics: lesson completion, first-pass rate, 7-day cohort retentio	Preregistered only: experiment-registry.ts row 'challenge-first-pilot' ('attempt-before-exposition, ONE course only', primaryMetric pilot-course capstone reach + transfer-check accuracy, +0.47 SD active-learning basis) with status 'planned'. No course has been
pedagogy-EXP-7	NOT-DONE	low	build-item	Experiment (transfer check): after 8+ weeks of spaced review, compare capstone build-server pass rates of high- vs low-review-adherence learners contr	R1 (spaced review) is built — /review hub (apps/web/src/app/[locale]/(platform)/review/page.tsx, LX-B5) and api/review/grade exist — but has ZERO production weeks (LAUNCH_DATE=null), so the 8+ week adherence-vs-capstone-pass analysis is impossible and nothing 
uiux-corr-UIU02	DONE	high	process-rule	LinkedIn-credential RCT claim bounded: cite only +17pp sharing, +6% new employment, +12% bottom tercile; never 'peer-reviewed', never +9%/resume-score	#645 CLOSED 2026-07-26 (corrections sweep round 2, explicitly listing the 'peer-reviewed + +15-20 resume points' UIU-02 boundary, method = in-place corrections for live guidance, dated banners for historical research docs, residual-grep proof). docs/superpower
uiux-corr-UIU26	DONE	medium	process-rule	Never cite Brazil as '3rd-largest esports audience'; use 34M+ fans (3rd is in pro players)	#645 CLOSED (strike set explicitly includes '3rd-largest esports audience — refuted, 3rd in pro players, 34M fans'). learning-uiux-research.md:11 banner marks it REFUTED and mandates the 34M+ figure; UNIFIED-LAUNCH-SPEC.md:161 (live plan of record): 'Never cit
uiux-corr-refuted-2512.22407	DONE	medium	process-rule	arXiv 2512.22407 (scaffold-by-experience-level) is REFUTED and excluded — never cite it	Repo-wide grep for '2512.22407': only two hits, both exclusion statements — learning-uiux-research.md:6 (REFUTED, n=9 non-peer-reviewed perception study, 'excluded from this report') and line 314 ('Excluded/REFUTED... does not contain the claimed findings'). N
uiux-F1	DONE	high	research-insight	Linear path is a defensible spacing-enforcement mechanism, never 'linearity improves learning' — ship only with escape hatches	The linear path (single sequential track, learner-segment.ts 'fixed-path emphasis: later courses render locked', CATALOG.md §2 trackLevel 1→5) shipped WITH both escape hatches: (1) test-out at the lock granularity (course-level, i.e. the linear unit) — apps/we
uiux-F2	DONE	high	research-insight	Forced linearity's documented cost falls on experienced devs (segment 2) — test-out + practice hub are non-negotiable	Segment-2 escape path exists end-to-end: lib/courses/test-out.ts is explicitly the 'Segment-2 test-out (LX-A5)' — passing batch-completes the course and mints the same XP (I5 non-penalty), so experienced devs skip locked path units without walking them; /revie
uiux-F3	DONE	medium	research-insight	Interleaved retrieval: small fragile attention benefit; beats passive restudy; never promise 2x effects; tested unit was 6-item blocks not one-per-scr	Internal justification uses the bounded framing: learning-uiux-research.md:44 banner ('cite as: small, fragile attention benefit; still beats passive restudy; do not promise 2x'); UNIFIED-LAUNCH-SPEC.md:154 strikes 'one per screen-state' from R3 and line 1386 
uiux-F4	DONE	medium	research-insight	Delayed signup / soft wall: direction safe to adopt, magnitudes (+20% DAU) not portable	Anonymous trial shipped: #556 CLOSED (anonymous-enroll no-op fix), #567 CLOSED (Later affordance + local progress banking), code at apps/web/src/lib/lessons/progress-bank.ts + replay-banked.ts (banked-locally, claim-on-signin per owner decision O-4), E2E verif
uiux-F5	DONE	medium	research-insight	Onboarding screen order (motivation→goal→placement→lesson-1) is a hypothesis to A/B, not evidence-backed design	Onboarding shipped as an instrumented hypothesis, not settled design: /start flow (apps/web/src/app/[locale]/(marketing)/start/start-client.tsx) emits per-screen events — onboarding_started (session-deduped), onboarding_step_completed {step:1-4, choice} per sc
uiux-F6	DONE	high	research-insight	Goal-gradient + endowed progress CONFIRMED — but endowment needs a stated reason and expect ~low-single-digit pp, not doubling; design for post-goal s	Both halves shipped. Endowed progress with stated reason: #584 CLOSED → apps/web/src/lib/courses/endowed-progress.ts pairs every pre-credited fill with a reasonKey ('unexplained head-starts backfire (UIU-06)'), first tick a modest 0.06, honest counts always re
uiux-F7	PARTIAL	medium	research-insight	Badges: keep achievements only where each certifies a competence event (effects small, design-dependent)	apps/web/src/content/generated/achievements.json: 10 achievements; most map to competence/consistency events (lessons-completed, course-completed, path-completed, streak); Speed Runner removed (#254 CLOSED); no collect-all badges. Unified spec §1366-67 codifie
uiux-F8	DONE	high	research-insight	Cohort leagues: adopt the shape (~30, matched, weekly reset), never the magnitudes; design against XP-grinding from day one	#574 CLOSED (Cohort leagues + you-±3 strip). supabase/migrations/20260726200000_cohort_leagues.sql: LEAGUE_COHORT_CAPACITY=30, weekly reset via league_week_start (Monday-anchored, score scoped to week), tier matching on prior-week XP, anti-grinding via 5000/da
